contract,ground_truth_category,tool,rule,severity
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,missing-zero-check,Low
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,incorrect-modifier,Low
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,deprecated-standards,Informational
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,solc-version,Informational
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,low-level-calls,Informational
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,unchecked_low_level_calls,slither,naming-convention,Informational
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,unchecked-lowlevel,Medium
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,missing-zero-check,Low
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,solc-version,Informational
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,low-level-calls,Informational
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,naming-convention,Informational
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,unchecked_low_level_calls,slither,external-function,Optimization
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,arbitrary-send-eth,High
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,unchecked-lowlevel,Medium
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,missing-zero-check,Low
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,solc-version,Informational
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,low-level-calls,Informational
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,naming-convention,Informational
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2,unchecked_low_level_calls,slither,external-function,Optimization
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,unchecked-lowlevel,Medium
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,calls-loop,Low
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,solc-version,Informational
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,low-level-calls,Informational
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,naming-convention,Informational
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,too-many-digits,Informational
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,constable-states,Optimization
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,unchecked_low_level_calls,slither,external-function,Optimization
arbitrary_location_write_simple,access_control,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,1
arbitrary_location_write_simple,access_control,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
arbitrary_location_write_simple,access_control,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
arbitrary_location_write_simple,access_control,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
arbitrary_location_write_simple,access_control,smartcheck,SOLIDITY_UPGRADE_TO_050,1
fibonaccibalance,access_control,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
fibonaccibalance,access_control,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
fibonaccibalance,access_control,smartcheck,SOLIDITY_UPGRADE_TO_050,1
fibonaccibalance,access_control,smartcheck,SOLIDITY_VISIBILITY,1
fibonaccibalance,access_control,smartcheck,SOLIDITY_VISIBILITY,1
incorrect_constructor_name1,access_control,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
incorrect_constructor_name1,access_control,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
incorrect_constructor_name1,access_control,smartcheck,SOLIDITY_VISIBILITY,1
incorrect_constructor_name2,access_control,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
incorrect_constructor_name2,access_control,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
incorrect_constructor_name2,access_control,smartcheck,SOLIDITY_VISIBILITY,1
incorrect_constructor_name3,access_control,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
incorrect_constructor_name3,access_control,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
incorrect_constructor_name3,access_control,smartcheck,SOLIDITY_VISIBILITY,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
bectoken,arithmetic,smartcheck,SOLIDITY_ERC20_APPROVE,2
bectoken,arithmetic,smartcheck,SOLIDITY_ERC20_APPROVE,2
bectoken,arithmetic,smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,2
bectoken,arithmetic,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
bectoken,arithmetic,smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,1
bectoken,arithmetic,smartcheck,SOLIDITY_SAFEMATH,1
bectoken,arithmetic,smartcheck,SOLIDITY_UPGRADE_TO_050,1
bectoken,arithmetic,smartcheck,SOLIDITY_VISIBILITY,1
bectoken,arithmetic,smartcheck,SOLIDITY_VISIBILITY,1
bectoken,arithmetic,smartcheck,SOLIDITY_VISIBILITY,1
bectoken,arithmetic,smartcheck,SOLIDITY_VISIBILITY,1
insecure_transfer,arithmetic,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
integer_overflow_1,arithmetic,smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,1
integer_overflow_1,arithmetic,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
integer_overflow_1,arithmetic,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
integer_overflow_1,arithmetic,smartcheck,SOLIDITY_VISIBILITY,1
integer_overflow_add,arithmetic,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
integer_overflow_benign_1,arithmetic,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
blackjack,bad_randomness,smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,2
blackjack,bad_randomness,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
blackjack,bad_randomness,smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT,1
blackjack,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
blackjack,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
blackjack,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
blackjack,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
blackjack,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
blackjack,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
blackjack,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_TRANSFER_IN_LOOP,2
etheraffle,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
etheraffle,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
guess_the_random_number,bad_randomness,smartcheck,SOLIDITY_BALANCE_EQUALITY,1
guess_the_random_number,bad_randomness,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
guess_the_random_number,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
guess_the_random_number,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lottery,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lottery,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lottery,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lottery,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lottery,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lottery,bad_randomness,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
lottery,bad_randomness,smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,2
lottery,bad_randomness,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
lottery,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lottery,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lottery,bad_randomness,smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,1
lottery,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
lottery,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
lottery,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
lottery,bad_randomness,smartcheck,SOLIDITY_SEND,1
lottery,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lottery,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lottery,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lottery,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lottery,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_ADDRESS_HARDCODED,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_REVERT_REQUIRE,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_UPGRADE_TO_050,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
lucky_doubler,bad_randomness,smartcheck,SOLIDITY_VISIBILITY,1
auction,denial_of_service,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
auction,denial_of_service,smartcheck,SOLIDITY_SEND,1
auction,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
auction,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
auction,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
dos_address,denial_of_service,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
dos_address,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
dos_address,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
dos_number,denial_of_service,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,1
dos_number,denial_of_service,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
dos_number,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
dos_number,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
dos_simple,denial_of_service,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
dos_simple,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
list_dos,denial_of_service,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,1
list_dos,denial_of_service,smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,1
list_dos,denial_of_service,smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,1
list_dos,denial_of_service,smartcheck,SOLIDITY_PRAGMAS_VERSION,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
list_dos,denial_of_service,smartcheck,SOLIDITY_VISIBILITY,1
